student_id,avg_accuracy,n_sessions,moving_avg_latency,trend_slope,performance_label
1,0.2,3,102.73,-0.05,Needs Improvement
2,0.3077,3,70.59,0.15,Needs Improvement
3,0.2778,2,82.56,0.4,Needs Improvement
4,0.2222,2,103.71,-0.175,Needs Improvement
5,0.6296,3,66.82,-0.014286,Stable
6,0.2778,2,85.04,0.175,Needs Improvement
7,0.2273,3,82.61,0.15,Needs Improvement
8,0.9259,3,83.67,-0.142857,Excellent
9,0.2903,4,99.97,-0.09,Needs Improvement
10,0.619,3,75.04,-0.3,Stable
11,0.3462,3,85.33,-0.083333,Needs Improvement
12,0.4286,3,77.91,0.0,Needs Improvement
13,0.2857,3,101.49,-0.2,Needs Improvement
14,0.7,3,86.67,-0.1,Excellent
15,0.4091,3,90.17,0.05,Needs Improvement
16,0.25,2,69.33,-0.4,Needs Improvement
17,0.75,2,100.45,0.3,Excellent
18,0.8462,3,59.95,-0.066667,Excellent
19,0.5806,4,62.96,0.07,Stable
20,0.4706,4,109.3,0.03,Stable
21,0.8276,3,70.02,-0.066667,Excellent
22,0.3929,3,75.43,0.05,Needs Improvement
23,0.5385,3,81.09,-0.05,Stable
24,0.75,3,90.09,-0.0875,Excellent
25,0.3846,3,77.67,-0.083333,Needs Improvement
26,0.6333,3,89.48,-0.1,Stable
27,0.7241,3,82.96,0.144444,Excellent
28,0.92,3,58.31,-0.05,Excellent
29,0.24,3,74.42,-0.2,Needs Improvement
30,0.6667,3,65.37,0.05,Stable
31,0.8824,4,76.94,0.02,Excellent
32,0.7143,3,70.12,-0.4,Excellent
33,0.5667,3,81.38,-0.1,Stable
34,0.8929,3,85.43,0.1,Excellent
35,0.5909,3,67.42,-0.05,Stable
36,0.4828,3,75.46,0.027778,Stable
37,0.8571,3,88.39,0.0,Excellent
38,0.7143,4,74.38,0.0,Excellent
39,0.32,3,94.8,-0.2,Needs Improvement
40,0.5161,4,102.36,0.15,Stable
41,0.7308,3,69.48,0.033333,Excellent
42,0.7,2,74.94,0.4,Excellent
43,0.7,2,79.89,0.0,Excellent
44,0.25,2,90.31,-0.1,Needs Improvement
45,0.8636,3,89.02,0.1,Excellent
46,0.6667,3,65.2,0.2,Stable
47,0.6,2,63.01,0.2,Stable
48,0.2593,3,78.2,0.092857,Needs Improvement
49,0.8,3,73.73,-0.1,Excellent
50,0.4333,3,110.0,-0.2,Needs Improvement
51,0.3158,2,81.8,0.244444,Needs Improvement
52,0.087,3,97.43,0.116667,Needs Improvement
53,0.25,3,78.57,-0.1375,Needs Improvement
54,0.3636,3,88.71,0.1,Needs Improvement
55,0.7727,3,83.61,-0.1,Excellent
56,0.2273,3,110.95,0.2,Needs Improvement
57,0.75,3,84.28,-0.025,Excellent
58,0.6667,4,89.77,-0.13,Stable
59,0.55,2,77.65,-0.1,Stable
60,0.7778,3,91.15,-0.114286,Excellent
61,0.4828,3,99.93,0.138889,Stable
62,0.8214,3,63.39,-0.125,Excellent
63,0.25,3,95.26,-0.15,Needs Improvement
